correlation,froi1,froi2,same_cyto,same_category,perm
0.20488868152300616,PPA,pOTS,0,0,33
0.7827882744370641,pFus,pOTS,1,0,33
0.6137079839889547,mFus,mOTS,1,0,34
0.8955806260102964,mFus,OTS,1,0,34
0.16483732289551778,mFus,PPA,0,0,34
0.6036314666242736,mFus,pFus,0,1,34
0.3591912203965128,mFus,pOTS,0,0,34
0.6756372846441404,mOTS,OTS,1,0,34
0.031844560114593724,mOTS,PPA,0,0,34
0.2912151567123289,mOTS,pFus,0,0,34
0.1797490810910149,mOTS,pOTS,0,1,34
0.09785159598560254,OTS,PPA,0,0,34
0.4304019445596738,OTS,pFus,0,0,34
0.23307157699289044,OTS,pOTS,0,0,34
0.35140307328840076,PPA,pFus,0,0,34
0.3245199385021525,PPA,pOTS,0,0,34
0.8144735040110278,pFus,pOTS,1,0,34
0.6733456080352442,mFus,mOTS,1,0,35
0.9125509255538341,mFus,OTS,1,0,35
0.10399180145641171,mFus,PPA,0,0,35
0.4492151549062662,mFus,pFus,0,1,35
0.336745433135066,mFus,pOTS,0,0,35
0.8642574261536482,mOTS,OTS,1,0,35
0.053417132689619645,mOTS,PPA,0,0,35
0.22544034057446188,mOTS,pFus,0,0,35
0.17340519332004448,mOTS,pOTS,0,1,35
0.08424015011723295,OTS,PPA,0,0,35
0.34101785139440166,OTS,pFus,0,0,35
0.26311079858307473,OTS,pOTS,0,0,35
0.27805620372370665,PPA,pFus,0,0,35
0.29757022338204436,PPA,pOTS,0,0,35
0.9182933217070949,pFus,pOTS,1,0,35
0.6557749000401877,mFus,mOTS,1,0,36
0.9004937493054924,mFus,OTS,1,0,36
0.1267840812891288,mFus,PPA,0,0,36
0.4869541442078432,mFus,pFus,0,1,36
0.25263526401766867,mFus,pOTS,0,0,36
0.8306538249154601,mOTS,OTS,1,0,36
0.04022732713424248,mOTS,PPA,0,0,36
0.29212564616399356,mOTS,pFus,0,0,36
0.17299011676207854,mOTS,pOTS,0,1,36
0.10545105904774077,OTS,PPA,0,0,36
0.37543810307404557,OTS,pFus,0,0,36
0.19079458344848516,OTS,pOTS,0,0,36
0.28475097128658533,PPA,pFus,0,0,36
0.26592188165674896,PPA,pOTS,0,0,36
0.9102157754618387,pFus,pOTS,1,0,36
0.5972822917788034,mFus,mOTS,1,0,37
0.8244146938226435,mFus,OTS,1,0,37
0.20058773925480441,mFus,PPA,0,0,37
0.5537378577965615,mFus,pFus,0,1,37
0.36222820356520596,mFus,pOTS,0,0,37
0.8142765015098858,mOTS,OTS,1,0,37
0.07445330353997609,mOTS,PPA,0,0,37
0.30731089095739494,mOTS,pFus,0,0,37
0.25319642969647466,mOTS,pOTS,0,1,37
0.10121475148378292,OTS,PPA,0,0,37
0.2967379794550096,OTS,pFus,0,0,37
0.22475899530578794,OTS,pOTS,0,0,37
0.2981184513513069,PPA,pFus,0,0,37
0.29325307175558396,PPA,pOTS,0,0,37
0.8526510392196773,pFus,pOTS,1,0,37
0.6405960549514395,mFus,mOTS,1,0,38
0.8671035081423358,mFus,OTS,1,0,38
0.17370352522266896,mFus,PPA,0,0,38
0.46180273677274575,mFus,pFus,0,1,38
0.3614974102657565,mFus,pOTS,0,0,38
0.7320162844208522,mOTS,OTS,1,0,38
0.06445136217493602,mOTS,PPA,0,0,38
0.28409245419222723,mOTS,pFus,0,0,38
0.22943091860881837,mOTS,pOTS,0,1,38
0.04972291794283461,OTS,PPA,0,0,38
0.24223992209651504,OTS,pFus,0,0,38
0.2782198697400507,OTS,pOTS,0,0,38
0.272878741253763,PPA,pFus,0,0,38
0.2085944801413946,PPA,pOTS,0,0,38
0.8830921666809732,pFus,pOTS,1,0,38
0.6603591918162499,mFus,mOTS,1,0,39
0.8641805657216,mFus,OTS,1,0,39
0.12742409896117984,mFus,PPA,0,0,39
0.590295863429262,mFus,pFus,0,1,39
0.3373284348720015,mFus,pOTS,0,0,39
0.8077907329890972,mOTS,OTS,1,0,39
0.06933885162361489,mOTS,PPA,0,0,39
0.3271805689239271,mOTS,pFus,0,0,39
0.2286546670390267,mOTS,pOTS,0,1,39
0.08144865447502438,OTS,PPA,0,0,39
0.33541098701236466,OTS,pFus,0,0,39
0.1972987138542512,OTS,pOTS,0,0,39
0.33017036148510825,PPA,pFus,0,0,39
0.34341629090716,PPA,pOTS,0,0,39
0.7983129926257821,pFus,pOTS,1,0,39
0.5807883911055327,mFus,mOTS,1,0,40
0.9077842566127056,mFus,OTS,1,0,40
